satelite,municipio,estado,numero_dias_sem_chuva,precipitacao,bioma,frp
NOAA-21,GLÓRIA,BAHIA,2.0,0.06,Caatinga,1.6
NOAA-21,SÃO DOMINGOS DO AZEITÃO,MARANHÃO,6.0,0.0,Cerrado,0.6
NOAA-21,SANTA RITA DE CÁSSIA,BAHIA,5.0,0.0,Cerrado,1.8
NOAA-21,SANTA RITA DE CÁSSIA,BAHIA,6.0,0.0,Cerrado,2.7
NOAA-21,SANTA RITA DE CÁSSIA,BAHIA,5.0,0.0,Cerrado,1.3
NOAA-21,JABORANDI,BAHIA,7.0,0.0,Cerrado,1.8
NOAA-21,JABORANDI,BAHIA,7.0,0.0,Cerrado,2.2
NOAA-21,TERESÓPOLIS,RIO DE JANEIRO,8.0,0.0,Mata Atlântica,0.9
NOAA-21,ITAÍ,SÃO PAULO,2.0,1.43,Cerrado,1.9
NPP-375D,GURUPI,TOCANTINS,5.0,0.0,Cerrado,1.5
NPP-375D,SÃO JOÃO DA PONTE,MINAS GERAIS,7.0,0.0,Cerrado,2.0
NPP-375D,JABORANDI,BAHIA,7.0,0.0,Cerrado,0.9
NPP-375D,SANTA RITA DE CÁSSIA,BAHIA,6.0,0.0,Cerrado,3.2
NPP-375D,CARINHANHA,BAHIA,6.0,0.0,Cerrado,0.5
NPP-375D,GURUPI,TOCANTINS,5.0,0.0,Cerrado,1.8
NPP-375D,ITAGUAÇU DA BAHIA,BAHIA,4.0,0.0,Caatinga,2.6
NPP-375D,SANTA RITA DE CÁSSIA,BAHIA,6.0,0.0,Cerrado,2.4
NPP-375D,CHAPADA GAÚCHA,MINAS GERAIS,7.0,0.0,Cerrado,1.5
NPP-375D,ALMAS,TOCANTINS,5.0,0.0,Cerrado,0.7
NPP-375D,CAIEIRAS,SÃO PAULO,8.0,0.2,Mata Atlântica,0.9
NPP-375D,ITAÍ,SÃO PAULO,3.0,1.35,Cerrado,2.0
NPP-375D,ITAÍ,SÃO PAULO,3.0,1.34,Cerrado,2.0
NOAA-20,NAZARÉ DO PIAUÍ,PIAUÍ,14.0,0.0,Caatinga,1.9
NOAA-20,PASTOS BONS,MARANHÃO,6.0,0.0,Cerrado,0.5
NOAA-20,SÃO DOMINGOS DO ARAGUAIA,PARÁ,5.0,0.0,Amazônia,0.6
NOAA-20,PARANÃ,TOCANTINS,6.0,0.0,Cerrado,1.1
NOAA-20,PEDRO AFONSO,TOCANTINS,5.0,0.0,Cerrado,1.3
NOAA-20,CAPITÃO ENÉAS,MINAS GERAIS,6.0,0.0,Cerrado,1.0
NOAA-20,PEIXE,TOCANTINS,5.0,0.0,Cerrado,2.6
NOAA-20,COXIM,MATO GROSSO DO SUL,9.0,0.0,Cerrado,1.8
NOAA-20,MONTE SANTO DE MINAS,MINAS GERAIS,9.0,0.0,Cerrado,0.7
NOAA-21,FELIZ NATAL,MATO GROSSO,4.0,0.6,Amazônia,5.4
NOAA-21,COXIM,MATO GROSSO DO SUL,8.0,0.0,Cerrado,2.1
NOAA-21,COXIM,MATO GROSSO DO SUL,9.0,0.0,Cerrado,1.7
NOAA-21,ITAÍ,SÃO PAULO,3.0,1.34,Cerrado,2.1
GOES-19,NAZARÉ DO PIAUÍ,PIAUÍ,15.0,0.0,Caatinga,89.6
TERRA_M-T,SERRA DO RAMALHO,BAHIA,6.0,0.0,Cerrado,17.3
TERRA_M-T,MATINA,BAHIA,6.0,0.0,Caatinga,29.4
TERRA_M-T,BUENÓPOLIS,MINAS GERAIS,8.0,0.0,Cerrado,5.8
GOES-19,SANTA RITA DE CÁSSIA,BAHIA,6.0,0.0,Cerrado,109.1
GOES-19,COXIM,MATO GROSSO DO SUL,9.0,0.0,Cerrado,98.3
GOES-19,LAGOA DA CONFUSÃO,TOCANTINS,4.0,0.0,Cerrado,65.3
GOES-19,MATEIROS,TOCANTINS,5.0,0.0,Cerrado,67.0
GOES-19,COXIM,MATO GROSSO DO SUL,9.0,0.0,Cerrado,121.0
GOES-19,CANARANA,MATO GROSSO,9.0,0.0,Cerrado,64.0
NOAA-20,ALTO SANTO,CEARÁ,12.0,0.0,Caatinga,6.6
GOES-19,CANARANA,MATO GROSSO,9.0,0.0,Cerrado,69.1
NOAA-21,CACHOEIRAS DE MACACU,RIO DE JANEIRO,8.0,0.0,Mata Atlântica,4.2
NOAA-21,MINEIROS,GOIÁS,9.0,0.0,Cerrado,15.0
NOAA-21,BRASÍLIA,DISTRITO FEDERAL,7.0,0.0,Cerrado,1.4
NOAA-21,UBERABA,MINAS GERAIS,9.0,0.0,Cerrado,2.3
NOAA-21,SERRA DO RAMALHO,BAHIA,6.0,0.0,Cerrado,12.2
NOAA-21,IMACULADA,PARAÍBA,7.0,0.0,Caatinga,4.6
NOAA-21,MIRANORTE,TOCANTINS,5.0,0.0,Amazônia,4.9
NOAA-21,DUERÉ,TOCANTINS,1.0,0.0,Cerrado,9.3
NOAA-21,GLÓRIA DO GOITÁ,PERNAMBUCO,22.0,0.0,Mata Atlântica,6.0
NOAA-21,JUAZEIRO,BAHIA,25.0,0.0,Caatinga,6.4
NOAA-21,BALSAS,MARANHÃO,3.0,0.0,Cerrado,6.6
NOAA-21,PIUM,TOCANTINS,2.0,0.0,Cerrado,7.1
NOAA-21,FLORIANO,PIAUÍ,6.0,0.0,Caatinga,6.1
NOAA-21,ÁGUA PRETA,PERNAMBUCO,10.0,0.0,Mata Atlântica,4.4
NOAA-21,NAZARÉ DO PIAUÍ,PIAUÍ,15.0,0.0,Caatinga,9.4
NOAA-21,MARIANÓPOLIS DO TOCANTINS,TOCANTINS,5.0,0.0,Cerrado,16.7
NOAA-21,OCARA,CEARÁ,11.0,0.0,Caatinga,9.0
NOAA-21,DARCINÓPOLIS,TOCANTINS,2.0,0.7,Cerrado,12.3
NOAA-21,BURITI DOS LOPES,PIAUÍ,6.0,3.01,Caatinga,2.5
NPP-375,VIANÓPOLIS,GOIÁS,10.0,0.0,Cerrado,4.9
NPP-375,MINEIROS,GOIÁS,9.0,0.28,Cerrado,9.3
NPP-375,SÃO GABRIEL DO OESTE,MATO GROSSO DO SUL,9.0,0.0,Cerrado,22.8
NPP-375,MATEIROS,TOCANTINS,5.0,0.0,Cerrado,14.8
NPP-375,TROMBAS,GOIÁS,8.0,0.0,Cerrado,7.3
NPP-375,PIUM,TOCANTINS,3.0,0.0,Cerrado,12.7
NPP-375,SÃO JOSÉ DO BELMONTE,PERNAMBUCO,13.0,0.5,Caatinga,9.7
NPP-375,LAGOA DA CONFUSÃO,TOCANTINS,5.0,0.0,Cerrado,5.5
NPP-375,PEDRA,PERNAMBUCO,0.0,0.0,Caatinga,5.6
NPP-375,DUERÉ,TOCANTINS,0.0,0.0,Cerrado,10.8
NPP-375,FAGUNDES,PARAÍBA,14.0,0.0,Caatinga,4.6
NPP-375,SANTA RITA DO NOVO DESTINO,GOIÁS,10.0,0.0,Cerrado,4.9
NPP-375,LAGOA DA CONFUSÃO,TOCANTINS,5.0,0.0,Cerrado,5.3
NPP-375,MATINA,BAHIA,6.0,0.0,Caatinga,3.7
NPP-375,BARRA DO CORDA,MARANHÃO,7.0,0.0,Cerrado,4.3
NPP-375,LAGOA DO MATO,MARANHÃO,6.0,0.0,Cerrado,11.1
NPP-375,BARRA DO CORDA,MARANHÃO,6.0,0.0,Cerrado,9.9
NPP-375,ACARÁ,PARÁ,0.0,0.59,Amazônia,4.7
NOAA-20,MONTENEGRO,RIO GRANDE DO SUL,4.0,2.2,Mata Atlântica,5.7
NOAA-20,SANTA VITÓRIA,MINAS GERAIS,9.0,0.0,Cerrado,4.4
